User ID,Subscription Type,Monthly Revenue,Country,Age,Gender,Device,Daily_Watch_Time,Subscription_Status
1,Basic,1046,United States,28,Male,Smartphone,3.7,0
2,Premium,1350,Canada,35,Female,Tablet,4.6,1
3,Standard,1294,United Kingdom,42,Male,Smart TV,1,1
4,Standard,1037,Australia,51,Female,Laptop,2,1
5,Basic,1491,Germany,33,Male,Smartphone,3.4,0
6,Premium,1327,France,29,Female,Smart TV,1.8,1
7,Standard,1220,Brazil,46,Male,Tablet,2.5,1
8,Basic,1070,Mexico,39,Female,Laptop,3.8,1
9,Standard,1459,Spain,37,Male,Smartphone,4.6,0
10,Premium,1138,Italy,44,Female,Smart TV,2.9,0
11,Basic,1370,United States,31,Female,Smartphone,4,1
12,Premium,1180,Canada,45,Male,Tablet,3.1,0
13,Standard,1308,United Kingdom,48,Female,Laptop,1.5,0
14,Basic,1324,Australia,27,Male,Smartphone,1.6,1
15,Standard,1087,Germany,38,Female,Smart TV,3.8,0
16,Premium,1396,France,36,Male,Tablet,2,1
17,Basic,1101,Brazil,30,Female,Laptop,4.6,0
18,Standard,1118,Mexico,43,Male,Smartphone,3.1,1
19,Premium,1454,Spain,32,Female,Smart TV,3,0
20,Basic,1160,Italy,41,Male,Tablet,2.5,0
21,Premium,1173,United States,26,Female,Laptop,4.1,0
22,Basic,1214,Canada,34,Male,Smartphone,3.5,1
23,Standard,1215,United Kingdom,49,Female,Smart TV,2.3,1
24,Standard,1126,Australia,31,Male,Tablet,2.7,1
25,Basic,1277,Germany,40,Female,Laptop,4.4,1
26,Premium,1331,France,29,Male,Smartphone,3.4,1
27,Basic,1353,Brazil,47,Female,Smart TV,3.4,0
28,Standard,1166,Mexico,33,Male,Tablet,2.7,1
29,Premium,1098,Spain,36,Female,Laptop,4.4,1
30,Basic,1134,Italy,42,Male,Smartphone,3.5,0
31,Premium,1212,United States,28,Female,Smart TV,1.1,0
32,Basic,1187,Canada,37,Male,Tablet,3.2,0
33,Standard,1182,United Kingdom,41,Female,Laptop,4.9,1
34,Standard,1144,Australia,29,Male,Smartphone,3.6,1
35,Basic,1400,Germany,39,Female,Smart TV,3.7,1
36,Premium,1185,France,35,Male,Tablet,4,0
37,Basic,1457,Brazil,45,Female,Laptop,4,1
38,Standard,1389,Mexico,32,Male,Smartphone,1,0
39,Premium,1033,Spain,27,Female,Smart TV,4.9,0
40,Basic,1341,Italy,48,Male,Tablet,1.8,0
41,Premium,1136,United States,31,Female,Laptop,2.1,1
42,Basic,1441,Canada,40,Male,Smartphone,3.2,1
43,Standard,1257,United Kingdom,36,Female,Smart TV,3.2,0
44,Standard,1135,Australia,29,Male,Tablet,2.1,1
45,Basic,1284,Germany,43,Female,Laptop,3.8,0
46,Premium,1039,France,34,Male,Smartphone,3.9,1
47,Basic,1323,Brazil,39,Female,Smart TV,1.3,0
48,Standard,1141,Mexico,32,Male,Tablet,3,0
49,Premium,1374,Spain,28,Female,Laptop,2.7,1
50,Basic,1349,Italy,45,Male,Smartphone,4.5,0
51,Premium,1334,United States,30,Female,Smart TV,3.5,0
52,Basic,1440,Canada,37,Male,Tablet,4.1,1
53,Standard,1394,United Kingdom,41,Female,Laptop,1.4,0
54,Standard,1011,Australia,29,Male,Smartphone,1.4,0
55,Basic,1231,Germany,39,Female,Smart TV,4.1,0
56,Premium,1085,France,36,Male,Tablet,4.4,1
57,Basic,1343,Brazil,46,Female,Laptop,2.8,1
58,Standard,1244,Mexico,34,Male,Smartphone,3.3,1
59,Premium,1066,Spain,27,Female,Smart TV,2.5,0
60,Basic,1091,Italy,42,Male,Tablet,1.9,0
61,Premium,1443,United States,28,Female,Laptop,2.1,0
62,Basic,1053,Canada,37,Male,Smartphone,3.3,1
63,Standard,1102,United Kingdom,41,Female,Smart TV,4.9,0
64,Standard,1385,Australia,29,Male,Tablet,1.4,0
65,Basic,1472,Germany,40,Female,Laptop,2.8,1
66,Premium,1391,France,29,Male,Smartphone,2.5,1
67,Basic,1420,Brazil,47,Female,Smart TV,1.2,0
68,Standard,1182,Mexico,33,Male,Tablet,1.8,0
69,Premium,1213,Spain,36,Female,Laptop,1.9,0
70,Basic,1443,Italy,41,Male,Smartphone,3.4,1
71,Basic,1262,United States,27,Male,Smartphone,2.3,0
72,Basic,1396,Canada,31,Female,Smartphone,2.5,1
73,Standard,1434,United Kingdom,28,Female,Laptop,2.1,1
74,Premium,1192,Australia,41,Female,Smartphone,4.5,1
75,Basic,1344,Germany,28,Female,Laptop,1.4,1
76,Basic,1033,France,51,Female,Laptop,3.3,1
77,Premium,1330,Brazil,45,Female,Smartphone,4.5,1
78,Standard,1073,Mexico,49,Male,Tablet,3.2,1
79,Standard,1360,Spain,43,Female,Laptop,4.7,1
80,Basic,1139,Italy,43,Male,Tablet,2.9,1
81,Premium,1421,United States,37,Male,Tablet,3.1,0
82,Standard,1291,Canada,35,Male,Laptop,3.7,0
83,Basic,1173,United Kingdom,46,Female,Smartphone,4.5,0
84,Standard,1152,Australia,32,Male,Smartphone,1.5,1
85,Premium,1162,Germany,37,Female,Laptop,1.6,0
86,Basic,1430,France,29,Female,Smartphone,1.5,1
87,Premium,1133,Brazil,45,Male,Smart TV,1.9,0
88,Standard,1268,Mexico,47,Male,Tablet,2.6,0
89,Basic,1000,Spain,39,Male,Smartphone,1.1,1
90,Standard,1295,Italy,49,Female,Smartphone,3.7,0
91,Premium,1214,United States,39,Male,Tablet,3.2,1
